iter	Passed	Remaining
0	176	176267
1	239	119444
2	279	92783
3	349	87006
4	405	80704
5	474	78582
6	526	74732
7	563	69878
8	594	65469
9	615	60955
10	642	57722
11	663	54602
12	683	51891
13	703	49551
14	724	47575
15	742	45689
16	761	44057
17	784	42808
18	805	41608
19	827	40538
20	849	39607
21	873	38819
22	906	38503
23	944	38398
24	974	38012
25	999	37444
26	1023	36866
27	1052	36554
28	1086	36386
29	1116	36115
30	1136	35538
31	1154	34908
32	1173	34389
33	1192	33893
34	1217	33576
35	1242	33279
36	1260	32812
37	1278	32363
38	1294	31905
39	1311	31469
40	1331	31139
41	1346	30723
42	1369	30478
43	1388	30161
44	1406	29840
45	1426	29585
46	1445	29316
47	1464	29051
48	1484	28809
49	1504	28594
50	1524	28360
51	1541	28108
52	1557	27824
53	1573	27570
54	1597	27445
55	1613	27203
56	1630	26980
57	1647	26754
58	1663	26526
59	1680	26324
60	1696	26108
61	1709	25870
62	1726	25684
63	1744	25507
64	1760	25328
65	1776	25137
66	1791	24950
67	1813	24856
68	1828	24666
69	1844	24511
70	1862	24363
71	1876	24189
72	1890	24012
73	1908	23887
74	1923	23728
75	1937	23553
76	1955	23435
77	1970	23296
78	1985	23148
79	2001	23019
80	2020	22919
81	2036	22803
82	2052	22679
83	2069	22567
84	2094	22544
85	2118	22515
86	2138	22445
87	2156	22346
88	2184	22356
89	2201	22258
90	2217	22150
91	2235	22058
92	2253	21976
93	2275	21931
94	2293	21848
95	2312	21777
96	2332	21713
97	2353	21658
98	2376	21630
99	2394	21550
100	2414	21493
101	2429	21386
102	2448	21326
103	2466	21251
104	2482	21159
105	2502	21109
106	2517	21010
107	2537	20961
108	2556	20899
109	2574	20831
110	2597	20800
111	2613	20723
112	2634	20682
113	2658	20661
114	2792	21488
115	2836	21614
116	2864	21619
117	2892	21618
118	2925	21661
119	2941	21572
120	2959	21500
121	2978	21436
122	2999	21384
123	3015	21300
124	3033	21233
125	3050	21159
126	3070	21104
127	3092	21066
128	3112	21016
129	3135	20982
130	3153	20919
131	3176	20886
132	3199	20856
133	3237	20920
134	3273	20975
135	3297	20950
136	3320	20918
137	3346	20901
138	3368	20864
139	3390	20828
140	3416	20812
141	3436	20761
142	3457	20722
143	3477	20669
144	3502	20652
145	3523	20611
146	3544	20565
147	3562	20509
148	3578	20439
149	3648	20673
150	3731	20979
151	3758	20967
152	3776	20904
153	3821	20992
154	3837	20918
155	3856	20865
156	3871	20787
157	3885	20706
158	3901	20636
159	3915	20554
160	3929	20476
161	3943	20398
162	3969	20383
163	3988	20333
164	4003	20260
165	4023	20212
166	4047	20189
167	4066	20136
168	4081	20071
169	4101	20024
170	4117	19963
171	4132	19892
172	4147	19827
173	4164	19767
174	4178	19699
175	4196	19646
176	4212	19587
177	4228	19528
178	4249	19492
179	4266	19436
180	4282	19376
181	4298	19318
182	4314	19260
183	4331	19208
184	4350	19163
185	4366	19111
186	4386	19072
187	4408	19040
188	4424	18985
189	4439	18928
190	4456	18873
191	4470	18813
192	4484	18750
193	4503	18709
194	4521	18665
195	4535	18605
196	4550	18549
197	4566	18495
198	4580	18438
199	4594	18377
200	4607	18316
201	4621	18257
202	4636	18202
203	4649	18142
204	4664	18090
205	4681	18044
206	4695	17989
207	4710	17938
208	4725	17884
209	4741	17838
210	4760	17800
211	4777	17756
212	4794	17713
213	4810	17666
214	4824	17615
215	4841	17572
216	4856	17523
217	4871	17473
218	4886	17427
219	4902	17380
220	4918	17337
221	4934	17292
222	4950	17247
223	4964	17199
224	4979	17150
225	4994	17104
226	5010	17061
227	5026	17017
228	5040	16972
229	5056	16927
230	5070	16878
231	5084	16831
232	5099	16785
233	5113	16739
234	5127	16691
235	5142	16647
236	5157	16602
237	5171	16557
238	5185	16509
239	5199	16465
240	5214	16420
241	5229	16380
242	5247	16346
243	5261	16302
244	5275	16256
245	5289	16211
246	5303	16167
247	5317	16125
248	5331	16081
249	5345	16037
250	5359	15994
251	5378	15964
252	5395	15929
253	5411	15892
254	5426	15854
255	5442	15817
256	5459	15784
257	5474	15745
258	5490	15708
259	5506	15672
260	5523	15640
261	5538	15601
262	5555	15567
263	5571	15532
264	5587	15496
265	5603	15461
266	5620	15430
267	5636	15395
268	5653	15363
269	5669	15327
270	5682	15285
271	5695	15245
272	5710	15206
273	5724	15166
274	5737	15126
275	5751	15087
276	5765	15048
277	5780	15013
278	5794	14974
279	5807	14934
280	5821	14895
281	5834	14856
282	5851	14824
283	5867	14792
